kýrmýzý red
balýk fish
elma apple
silgi eraser
koþmak run
kütüphane library
belge document
telefon phone
bilgisayar computer
neþter scalpel
papaðan parrot
ezmek crush
sincap squirrel 
yüzük ring
gözlük glasses
tepsi tray
dikdörtgen rectangular
doktor doctor
karpuz watermelon
sormak sormak
inanmak believe
kýrmak break
getirmek bring
deðiþtirmek change
temizlemek clean
taramak scan
saymak count
kesmek cut
içmek drink 
sürmek drive
yemek eat
açýklamak explain
düþmek fall
doldurmak fill
bulmak find
bitirmek finish
uçmak fly
unutmak forget
vermek give
gitmek go
duymak hear
incitmek incitmek
bilmek know
dinlemek listen
yaþamak live
bakmak look
kaybetmek lose
açmak open 
kapamak close
düzenlemek organize
oynamak play
koymak put
yaðmak rain
okumak read
söylemek say
görmek see
satmak sell
göndermek send
imzalamak sign
uyumak sleep
konuþmak speak
hecelemek spell
harcamak spend
baþarmak succeed
yüzmek swim
almak take
konuþmak talk
anlatmak tell
düþünmek think 
denemek try 
kullanmak use
beklemek wait
istemek want
endiþelenmek worry
sarý yellow
beyaz white
kapý door
yeþil green
turuncu orange
tilki fox
deve camel
kuþ bird
market store
kaplan tiger
aslan lion
yönetim management
barýþ peace
savaþ war
savaþçý warrior
yazýlým software
donaným hardware
filozof philosopher
resim pictures
görüntü image
gösteri show
yavaþ slow
hayat life
bahçe garden
aðaç tree
baðlantý link



